"row_id","script","episode","character","location_det","type"
1,"OPEN IN STARS HOLLOW",1,NA,"Stars Hollow - Exterior","location"
2,"[Lorelai walks down the sidewalk. She passes a sign that says ""Stars Hollow Founded 1779"" and crosses the street. She goes into Luke's Diner. Inside, she takes off her coat and picks up an empty mug from a table, then walks up to the counter]",1,NA,"Stars Hollow - Exterior","stage direction"
3,"LORELAI: Please, Luke. Please, please, please.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
4,"LUKE: How many cups have you had this morning?",1,"LUKE","Stars Hollow - Exterior","dialogue"
5,"LORELAI: None.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
6,"LUKE: Plus...",1,"LUKE","Stars Hollow - Exterior","dialogue"
7,"LORELAI: Five, but yours is better.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
8,"LUKE: You have a problem.",1,"LUKE","Stars Hollow - Exterior","dialogue"
9,"LORELAI: Yes, I do.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
10,"[Luke fills her cup]",1,NA,"Stars Hollow - Exterior","stage direction"
11,"LUKE: Junkie.",1,"LUKE","Stars Hollow - Exterior","dialogue"
12,"LORELAI: Angel. You've got wings, baby.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
13,"[The phone rings as Lorelai goes back to her table. Luke answers it.]",1,NA,"Stars Hollow - Exterior","stage direction"
14,"LUKE: Luke's. [pause] Yeah.",1,"LUKE","Stars Hollow - Exterior","dialogue"
15,"[A young guy seated at the counter turns and watches Lorelai sip her coffee, then gets up and approaches her.]",1,NA,"Stars Hollow - Exterior","stage direction"
16,"JOEY: You make that look really good.",1,"JOEY","Stars Hollow - Exterior","dialogue"
17,"LORELAI: Oh, it is really good. It's the best coffee in town.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
18,"JOEY: Oh yeah? I'll have to get a cup.",1,"JOEY","Stars Hollow - Exterior","dialogue"
19,"LORELAI: Good plan.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
20,"JOEY: Yeah, I've never been here before. Just, uh, passing through on my way to Hartford.",1,"JOEY","Stars Hollow - Exterior","dialogue"
21,"LORELAI: You're a regular Jack Kerouac.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
22,"JOEY: Yeah.",1,"JOEY","Stars Hollow - Exterior","dialogue"
23,"LORELAI: Yeah.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
24,"JOEY: Hey, you mind if I sit down?",1,"JOEY","Stars Hollow - Exterior","dialogue"
25,"LORELAI: Oh, you know what? Actually, I'm meeting someone so I. . .",1,"LORELAI","Stars Hollow - Exterior","dialogue"
26,"[Joey sits down at her table]",1,NA,"Stars Hollow - Exterior","stage direction"
27,"JOEY: I'm Joey.",1,"JOEY","Stars Hollow - Exterior","dialogue"
28,"LORELAI: Okay.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
29,"JOEY: What, you don't have a name?",1,"JOEY","Stars Hollow - Exterior","dialogue"
30,"LORELAI: No, I do have a name. I just, I'm really meeting someone, so. . .",1,"LORELAI","Stars Hollow - Exterior","dialogue"
31,"JOEY: So I guess I should get going.",1,"JOEY","Stars Hollow - Exterior","dialogue"
32,"LORELAI: So soon?",1,"LORELAI","Stars Hollow - Exterior","dialogue"
33,"JOEY: What?",1,"JOEY","Stars Hollow - Exterior","dialogue"
34,"LORELAI: I'm just screwing with your mind, Joey. It's nice to meet you. Enjoy Hartford.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
35,"JOEY: Enjoy your coffee, mystery woman.",1,"JOEY","Stars Hollow - Exterior","dialogue"
36,"LORELAI: Hm. I like that.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
37,"[As Joey goes back to the counter, Rory walks in and sits across from Lorelai.]",1,NA,"Stars Hollow - Exterior","stage direction"
38,"RORY: Hey. It's freezing.",1,"RORY","Stars Hollow - Exterior","dialogue"
39,"LORELAI: Oh, what do you need? Hot tea, coffee?",1,"LORELAI","Stars Hollow - Exterior","dialogue"
40,"RORY: Lip gloss.",1,"RORY","Stars Hollow - Exterior","dialogue"
41,"LORELAI: Aha.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
42,"[Lorelai pulls a makeup bag out of her purse.]",1,NA,"Stars Hollow - Exterior","stage direction"
43,"LORELAI: I have vanilla, chocolate, strawberry, and toasted marshmallow.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
44,"RORY: Anything in there not resembling a breakfast cereal?",1,"RORY","Stars Hollow - Exterior","dialogue"
45,"LORELAI: Yes.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
46,"[Lorelai pulls out another bag.]",1,NA,"Stars Hollow - Exterior","stage direction"
47,"LORELAI: It has no smell but it changes colors with your mood.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
48,"RORY: God, RuPaul doesn't need this much makeup.",1,"RORY","Stars Hollow - Exterior","dialogue"
49,"LORELAI: Wow, you're crabby.",1,"LORELAI","Stars Hollow - Exterior","dialogue"
